Tool,2024 Cost,2025 YTD,Monthly,Category,Action,Decision,Notes
"Atlassian",21186,10296,858,"Project Management","CANCEL - you said should be $0","",""
"Google Apps",20230,30876,2573,"Productivity","REVIEW - Growing fast. Right # of seats?","",""
"Hubspot",13849,15607,1300,"CRM/Marketing","KEEP - Core CRM","",""
"Amazon AWS",10731,17876,1490,"Cloud/Hosting","REVIEW - 67% growth. What's running?","",""
"DocuSign",7771,7596,633,"E-Signature","REVIEW - Need all features? Cheaper alternatives?","",""
"Bill.com",6881,5490,458,"AP/Payments","KEEP - Core finance tool","",""
"Slack",6381,8771,731,"Communication","REVIEW - Growing. Right plan?","",""
"GETMAGI",5642,1750,146,"AI Assistant","CANCEL? - Redundant with ChatGPT/Claude","",""
"Auth0",4326,5181,432,"Authentication","REVIEW - Is this for PartnerConnect?","",""
"Make",4205,4071,339,"Automation","KEEP - Automation platform","",""
"QuickBooks Online",3245,4134,345,"Accounting","KEEP - Core accounting","",""
"GaggleAMP",3000,3300,275,"Social Advocacy","REVIEW - Is anyone using this?","",""
"SEMRush",2942,2696,225,"SEO","REVIEW - Needed for current marketing?","",""
"Zoom",2384,3224,269,"Video Conf","REVIEW - Need paid? Google Meet included","",""
"NINETY.IO",2147,2827,236,"EOS/Planning","REVIEW - Still using EOS?","",""
"KnowBe4",2122,2675,223,"Security Training","REVIEW - Compliance requirement?","",""
"LinkedIn",1791,2844,237,"Recruiting/Sales","REVIEW - Which products? Sales Nav?","",""
"LeadFeeder",1548,1419,118,"Lead Gen","REVIEW - Generating ROI?","",""
"Zapier",1388,0,0,"Automation","ALREADY CANCELLED ✓","",""
"Lumen5",948,948,79,"Video Creation","CANCEL? - Is anyone making videos?","",""
"Seamless.AI",925,0,0,"Lead Gen","ALREADY CANCELLED ✓","",""
"Outgrow",800,2400,200,"Interactive Content","REVIEW - 3x growth. Being used?","",""
"Postman",715,715,60,"API Testing","REVIEW - Dev team using?","",""
"GoDaddy",694,2074,173,"Domains/Hosting","REVIEW - 3x growth. What domains?","",""
"Monday.com",682,1149,96,"Project Management","CANCEL? - Redundant with Atlassian?","",""
"OpenVPN",660,714,60,"Security","KEEP - VPN needed","",""
"Github",633,1096,91,"Dev Tools","REVIEW - How many repos/users?","",""
"Clearbit",495,0,0,"Data Enrichment","ALREADY CANCELLED ✓","",""
"ChatGPT",362,3200,267,"AI","KEEP - Core AI tool","",""
"Typeform",316,0,0,"Forms","ALREADY CANCELLED ✓","",""
"Claude.ai",0,1122,94,"AI","KEEP - Core AI tool","",""
